Date,Origin Movement ID,Origin Display Name,Destination Movement ID,Destination Display Name,Daily Mean Travel Time (Seconds),Daily Range - Lower Bound Travel Time (Seconds),Daily Range - Upper Bound Travel Time (Seconds),AM Mean Travel Time (Seconds),AM Range - Lower Bound Travel Time (Seconds),AM Range - Upper Bound Travel Time (Seconds),PM Mean Travel Time (Seconds),PM Range - Lower Bound Travel Time (Seconds),PM Range - Upper Bound Travel Time (Seconds),Midday Mean Travel Time (Seconds),Midday Range - Lower Bound Travel Time (Seconds),Midday Range - Upper Bound Travel Time (Seconds),Evening Mean Travel Time (Seconds),Evening Range - Lower Bound Travel Time (Seconds),Evening Range - Upper Bound Travel Time (Seconds),Early Morning Mean Travel Time (Seconds),Early Morning Range - Lower Bound Travel Time (Seconds),Early Morning Range - Upper Bound Travel Time (Seconds)
09/24/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2863,1809,4532,2295,1853,2842,4357,3450,5502,3332,2397,4630,2745,1759,4282,1539,1160,2041
09/25/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2194,1607,2995,1948,1469,2585,2653,2121,3318,2411,1861,3123,2092,1597,2741,1455,1109,1909
09/26/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2886,1717,4850,3159,2407,4147,4396,2797,6910,3850,2858,5185,2858,1687,4844,1464,1130,1896
09/27/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2740,1801,4168,2908,2294,3688,3660,2760,4853,3137,2344,4199,2659,1775,3984,1538,1109,2133
09/28/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2804,1717,4579,2712,1995,3687,4108,3237,5214,3458,2517,4750,2456,1541,3914,1304,1013,1678
09/29/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3085,1990,4780,3076,2375,3986,4300,3358,5505,3544,2833,4434,2633,1692,4097,1486,1090,2026
09/30/2016,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2403,1718,3359,2354,1897,2921,2883,2213,3756,2578,1970,3374,2414,1748,3334,1536,1115,2116
2016-01-07 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",3085,2116,4498,2805,2337,3366,4240,3385,5310,3199,2540,4029,3145,2365,4181,1748,1173,2604
2016-02-07 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2825,1891,4221,2234,1839,2715,3774,3089,4610,3383,2650,4318,2719,1934,3822,2057,1219,3471
2016-03-07 00:00:00,100,"Kempegowda, Majestic, Bengaluru, Karnataka",171,"Analytics India Magazine, #280, 2nd floor, 5th Main, 15th A Cross Road, Sector 6, HSR Layout, Bengaluru, Karnataka",2345,1772,3105,1949,1605,2367,2758,2340,3251,2450,1953,3073,2417,1871,3121,1523,1203,1928
